Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Italian 2,ITALIAN,102,Lecture,06,11361,4,15,73.33333333333333,6/27/2021 6:27:41 PM
What Is Europe?,ITALIAN,201,Lecture,01,9466,1,21,95.23809523809523,6/27/2021 6:27:44 PM
Intermediate Italian,ITALIAN,203,Lecture,02,9379,2,15,86.66666666666667,6/27/2021 6:27:46 PM
Intermediate Italian,ITALIAN,203,Lecture,03,9380,0,15,100.0,6/27/2021 6:27:48 PM
Intermediate Italian,ITALIAN,203,Lecture,04,9381,1,15,93.33333333333333,6/27/2021 6:27:51 PM
Intermediate Italian,ITALIAN,203,Lecture,05,9382,0,15,100.0,6/27/2021 6:27:53 PM
"Introduction to Italian Studies: Language, Literature, Film",ITALIAN,301S,SEM,01,9383,8,15,46.666666666666664,6/27/2021 6:27:56 PM
"Italian Conversations: Explore Italy and Italians through Media, Film, Literature",ITALIAN,302S,SEM,01,9490,1,15,93.33333333333333,6/27/2021 6:27:58 PM
Italian Sociolinguistics,ITALIAN,303S,SEM,01,9445,15,18,16.666666666666664,6/27/2021 6:28:01 PM
Italian Studies Seminar,ITALIAN,328S,SEM,01,9509,13,18,27.77777777777778,6/27/2021 6:28:03 PM
America from Abroad: Literature and Cinema,ITALIAN,337,Lecture,01,9498,0,30,100.0,6/27/2021 6:28:05 PM
America from Abroad: Literature and Cinema Preceptorial,ITALIAN,337P,PRC,01P,11810,7,10,30.0,6/27/2021 6:28:08 PM
Boccaccio's Decameron,ITALIAN,338S,SEM,01,9452,4,14,71.42857142857143,6/27/2021 6:28:11 PM
Boccaccio's Decameron - Preceptorial,ITALIAN,338SP,PRC,01P,9454,12,14,14.285714285714285,6/27/2021 6:28:13 PM
Art in Renaissance Italy,ITALIAN,386,Lecture,01,3500,2,18,88.88888888888889,6/27/2021 6:28:16 PM
Research Independent Study,ITALIAN,394,IND,01,2891,1,1,0.0,6/27/2021 6:28:18 PM
Research Independent Study,ITALIAN,394,IND,02,2892,1,1,0.0,6/27/2021 6:28:21 PM
Research Independent Study,ITALIAN,494,IND,01,2893,1,1,0.0,6/27/2021 6:28:24 PM
Research Independent Study,ITALIAN,494,IND,02,2894,1,1,0.0,6/27/2021 6:28:26 PM
Honors Thesis,ITALIAN,495,IND,01,2895,1,1,0.0,6/27/2021 6:28:28 PM
Honors Thesis,ITALIAN,495,IND,02,2896,1,1,0.0,6/27/2021 6:28:31 PM
Elementary Modern Hebrew,JEWISHST,102,Lecture,001,6669,3,15,80.0,6/27/2021 5:31:43 PM
Elementary Modern Hebrew,JEWISHST,102,Discussion,01D,6670,3,15,80.0,6/27/2021 5:31:46 PM
The Old Testament/Hebrew Bible,JEWISHST,145,Lecture,01,7250,39,45,13.333333333333334,6/27/2021 5:31:48 PM
